"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/actividades/page.tsx", "TypeScript JSX", 20, 0, 0, 1, 2, 23
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/api/auth/[...nextauth]/route.ts", "TypeScript", 0, 39, 0, 0, 6, 45
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/contacto/page.tsx", "TypeScript JSX", 19, 0, 0, 1, 6, 26
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/error/page.tsx", "TypeScript JSX", 533, 0, 0, 1, 5, 539
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/layout.tsx", "TypeScript JSX", 36, 0, 0, 4, 7, 47
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/page.tsx", "TypeScript JSX", 28, 0, 0, 1, 3, 32
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/providers.tsx", "TypeScript JSX", 18, 0, 0, 1, 3, 22
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/signin/page.tsx", "TypeScript JSX", 129, 0, 0, 0, 7, 136
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/app/signup/page.tsx", "TypeScript JSX", 147, 0, 0, 0, 7, 154
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/About/AboutSectionOne.tsx", "TypeScript JSX", 68, 0, 0, 0, 8, 76
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/About/AboutSectionTwo.tsx", "TypeScript JSX", 14, 0, 0, 0, 4, 18
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/AboutUs/Card.tsx", "TypeScript JSX", 72, 0, 0, 0, 2, 74
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/AboutUs/SingleFeature.tsx", "TypeScript JSX", 20, 0, 0, 0, 3, 23
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/AboutUs/featuresData.tsx", "TypeScript JSX", 94, 0, 0, 0, 2, 96
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/AboutUs/index.tsx", "TypeScript JSX", 39, 0, 0, 5, 4, 48
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Actividades/Actividades.tsx", "TypeScript JSX", 38, 0, 0, 0, 5, 43
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Actividades/Card.tsx", "TypeScript JSX", 89, 0, 0, 4, 6, 99
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Actividades/Comunidades.tsx", "TypeScript JSX", 64, 0, 0, 0, 1, 65
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Actividades/comunidadesData.ts", "TypeScript", 0, 14, 0, 0, 0, 14
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Brands/brandsData.tsx", "TypeScript JSX", 46, 0, 0, 0, 3, 49
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Brands/index.tsx", "TypeScript JSX", 37, 0, 0, 0, 5, 42
